name,norad_cat_id,classification,int_designator,epoch_year,epoch_day,first_derivative_mean_motion,second_derivative_mean_motion,bstar_drag,ephemeris_type,element_set_number,inclination,raan,eccentricity,arg_of_perigee,mean_anomaly,mean_motion,rev_number,anomaly_label
STARLINK-33904,63887,U,25094Z,25,280.25310051,-0.0001105,0.0,-91919000.0,0,999,70.0001,261.1667,0.0002659,264.8165,95.269,14.98355828,2422,0
STARLINK-33981,63888,U,25094AA,25,280.29094308,4.061e-05,0.0,34065000.0,0,999,70.0004,261.2975,0.0002765,271.7809,88.3034,14.99151833,2422,0
STARLINK-33738,63889,U,25094AB,25,280.27815764,-0.00197763,0.0,-169260.0,0,999,70.0002,261.2292,0.0003147,266.673,93.4069,14.98585072,2444,0
STARLINK-34116,63890,U,25095A,25,279.4282458,0.00035604,0.0,1296900.0,0,999,43.0059,327.576,0.000111,245.1961,114.8776,15.27585374,2419,0
STARLINK-34123,63891,U,25095B,25,280.16163223,0.00024108,0.0,88213000.0,0,999,42.9982,323.6163,6.89e-05,250.6814,109.3963,15.27602051,2430,0
STARLINK-34128,63892,U,25095C,25,280.13207864,0.00049904,0.0,1809000.0,0,999,43.0035,323.3926,0.0002197,260.6373,99.423,15.2761055,2430,0
STARLINK-33972,63893,U,25095D,25,280.13975571,0.00084646,0.0,3037300.0,0,999,43.0016,323.4559,6.18e-05,115.9041,244.1874,15.27721747,2430,0
STARLINK-33973,63894,U,25095E,25,280.16919201,0.00027385,0.0,1000500.0,0,999,43.0027,322.8043,0.0001493,259.4172,100.6511,15.27597659,2431,0
STARLINK-34119,63895,U,25095F,25,280.15392318,0.00039636,0.0,1441100.0,0,999,42.9996,323.5586,6.92e-05,213.354,146.7268,15.27602838,2430,0
STARLINK-34143,63896,U,25095G,25,280.19360834,0.00025615,0.0,93670000.0,0,999,43.002,322.9865,0.0001279,226.2734,133.8012,15.27594473,2431,0
STARLINK-33957,63897,U,25095H,25,280.15777878,0.00043885,0.0,1593500.0,0,999,43.0006,323.5868,0.0001323,278.2188,81.8513,15.27607496,2429,0
STARLINK-34120,63898,U,25095J,25,280.16531547,0.00025986,0.0,94894000.0,0,999,43.0025,322.7745,0.0001818,254.0203,106.0448,15.27633683,2431,0
STARLINK-34134,63899,U,25095K,25,280.14363134,7.008e-05,0.0,26388000.0,0,999,43.0003,323.4819,6.44e-05,228.0776,132.0021,15.27584965,2430,0
STARLINK-34118,63900,U,25095L,25,279.43081692,0.00036292,0.0,1321600.0,0,999,43.0015,327.5906,0.0001291,279.1308,80.9398,15.27586898,2419,0
STARLINK-34125,63901,U,25095M,25,280.13592957,0.0002929,0.0,1068900.0,0,999,43.0024,323.4206,0.0002392,266.8732,93.1846,15.27602651,2429,0
STARLINK-33955,63902,U,25095N,25,280.17174982,9.869e-05,0.0,36780000.0,0,999,43.0027,322.822,0.0001683,273.8419,86.224,15.27567628,2430,0
STARLINK-34097,63903,U,25095P,25,280.19103957,0.00027609,0.0,1008200.0,0,999,43.0048,322.9721,0.0001675,284.0906,75.9759,15.27606626,2430,0
STARLINK-34092,63904,U,25095Q,25,280.15520707,0.00049159,0.0,1782400.0,0,999,42.9995,323.5652,0.0001847,282.3054,77.7591,15.27610012,2429,0
STARLINK-34114,63905,U,25095R,25,280.16291245,0.00029911,0.0,1091500.0,0,999,43.0057,323.6243,1.96e-05,90.7944,269.293,15.27596165,2429,0
STARLINK-33770,63906,U,25095S,25,280.18075965,0.00036769,0.0,1337600.0,0,999,43.0041,322.8916,0.0001608,277.7145,82.3524,15.27615833,2430,0
STARLINK-34106,63907,U,25095T,25,280.17690055,0.0002643,0.0,96597000.0,0,999,43.002,322.8596,0.0001187,247.9888,112.0838,15.27598914,2430,0
STARLINK-34083,63908,U,25095U,25,279.43980966,0.00033397,0.0,1216900.0,0,999,43.0008,327.656,0.0001398,274.3673,85.7019,15.27599695,2418,0
STARLINK-34066,63909,U,25095V,25,280.14492763,0.00026975,0.0,98534000.0,0,999,42.9984,323.4883,1.17e-05,129.1673,230.9189,15.27607568,2429,0
STARLINK-34071,63910,U,25095W,25,279.82442007,0.00021056,0.0,77238000.0,0,999,43.0005,325.3817,0.0001383,258.5387,101.531,15.27584917,2424,0
STARLINK-34038,63911,U,25095X,25,280.13722125,0.00036119,0.0,1314800.0,0,999,43.0057,323.4292,0.0002324,284.591,75.4684,15.27599021,2429,0
STARLINK-34031,63912,U,25095Y,25,280.20646437,0.00026862,0.0,98227000.0,0,999,43.003,323.0902,0.0002792753277616435,274.4105,85.6597,15.27574955,2430,1
STARLINK-34070,63913,U,25095Z,25,280.13335876,0.00055432,0.0,2006200.0,0,999,43.005,323.4,0.0003081,281.4039,78.6467,15.27620702,2429,0
STARLINK-34068,63914,U,25095AA,25,280.18846809,0.0002615,0.0,95575000.0,0,999,43.0053,322.9524,0.000227,275.3299,84.7293,15.27602191,2430,0
STARLINK-34076,63915,U,25095AB,25,279.41025313,0.00028585,0.0,1044300.0,0,999,43.0,327.4245,0.0001312,235.7979,124.2748,15.2757743,2418,0
STARLINK-33910,63916,U,25095AC,25,280.17303522,0.00022719,0.0,83341000.0,0,999,43.0029,322.8279,0.0001343,262.8676,97.2023,15.27546159,2430,0
STARLINK-34075,63917,U,25095AD,25,279.53075096,0.00035857,0.0,9859049.497442856,0,999,43.0024,326.6133,0.0001565,274.8392,85.2281,15.275914,2420,1
YAOGAN-40 02A,63918,U,25096A,25,280.01235355,2.02e-06,0.0,995430000.0,0,999,85.9903,301.4851,0.0002212,98.4762,261.6672,14.12371384,2083,0
YAOGAN-40 02B,63919,U,25096B,25,277.74542396,3.43e-06,0.0,17612000.0,0,999,85.9897,302.4919,0.0001724,100.2978,259.8399,14.12369669,2051,0
YAOGAN-40 02C,63920,U,25096C,25,280.29581601,2.49e-06,0.0,12520000.0,0,999,85.9903,300.5994,0.0002257,97.1164,263.0276,14.12371357,3971,0
TJS-19,63924,U,25097A,25,279.75392891,-2.8e-06,0.0,0.0,0,999,3.7391,313.9567,0.0003037,267.2888,207.0711,1.00268988,160,0
STARLINK-34012,63926,U,25098A,25,280.30349532,3.783e-05,0.0,32458000.0,0,999,70.0003,301.3198,0.0003537,270.4851,89.5902,14.98338656,2361,0
STARLINK-33956,63927,U,25098B,25,280.2575826,2.473e-05,0.0,135618873.26451242,0,999,70.0004,301.1542,0.0003123,269.7408,90.3393,14.9833411,2359,1
STARLINK-33997,63928,U,25098C,25,280.31601648,-3.15e-06,0.0,-186270000.0,0,999,70.0006,301.356,0.0003687,264.3463,95.7276,14.98338809,2359,0
STARLINK-33989,63929,U,25098D,25,280.29113692,3.933e-05,0.0,33715000.0,0,999,70.0,301.2733,0.0003556,270.9345,89.1406,14.98339741,2359,0
STARLINK-33980,63930,U,25098E,25,280.31184414,4e-05,0.0,34275000.0,0,999,70.0005,301.3498,0.0003362,272.97,87.1075,14.98341527,2359,0
STARLINK-33994,63931,U,25098F,25,280.28696635,2.703e-05,0.0,23409000.0,0,999,70.0001,301.2586,0.0002956,279.2071,80.8753,14.98348522,2359,0
STARLINK-33971,63932,U,25098G,25,280.30783353,4.318e-05,0.0,36932000.0,0,999,70.0003,301.3347,0.0003947,269.7807,90.29,14.98339978,2359,0
STARLINK-33877,63933,U,25098H,25,280.26191943,3.731e-05,0.0,32022000.0,0,999,69.9997,301.1633,0.0003754,269.0793,90.9936,14.98336064,2359,0
STARLINK-33895,63934,U,25098J,25,280.27026874,4.147e-05,0.0,35503000.0,0,999,69.9999,301.1981,0.0003164,270.3912,89.6884,14.98339191,2359,0
STARLINK-34005,63935,U,25098K,25,280.31199859,0.00022744,0.0,1904600.0,0,999,70.0001,301.3404,0.0003332,268.1277,91.95,14.98392876,2359,0
STARLINK-34027,63936,U,25098L,25,280.25358886,4.657e-05,0.0,39780000.0,0,999,70.0001,301.1379,0.0003106,268.7346,91.3457,14.98329687,2357,0
STARLINK-34035,63937,U,25098M,25,280.28278862,4.109e-05,0.0,35182000.0,0,999,69.9999,301.242,0.0003751,266.0892,93.9838,14.9834042,2357,0
STARLINK-33988,63938,U,25098N,25,280.29514676,1.91e-05,0.0,16779000.0,0,999,70.0001,301.2875,0.0002932,273.0772,87.0052,14.984803199324489,2357,1
STARLINK-34020,63939,U,25098P,25,280.26609584,3.4e-05,0.0,29253000.0,0,999,70.0,301.1824,0.0003025,277.8054,82.2761,14.9833515,2357,0
STARLINK-34021,63940,U,25098Q,25,280.31618351,5.105e-05,0.0,43521000.0,0,999,70.0001,301.3547,0.0003026,272.103,87.9783,14.98342136,2357,0
STARLINK-34004,63941,U,25098R,25,280.27442836,2.047e-05,0.0,17929000.0,0,999,70.002,301.2068,0.0003152,264.4389,95.6411,14.98333028,2357,0
STARLINK-34014,63942,U,25098S,25,280.27845113,3.967e-05,0.0,34001000.0,0,999,69.9998,301.2255,0.0009436887937577129,270.8496,89.2302,14.98338658,2357,1
STARLINK-33985,63943,U,25098T,25,280.26176355,5.774e-05,0.0,49113000.0,0,999,69.9997,301.16,0.0003341,273.8751,86.2026,14.98344802,2357,0
STARLINK-33996,63944,U,25098U,25,280.29531089,8.059e-05,0.0,68209000.0,0,999,70.001,301.2874,0.0002758,265.1772,94.9073,14.98350639,2357,0
STARLINK-34036,63945,U,25098V,25,280.30366689,5.948e-05,0.0,50583000.0,0,999,70.0003,301.3183,0.0003089,270.6606,89.4199,14.98332993,2357,0
STARLINK-34039,63946,U,25098W,25,280.29949528,6.262e-05,0.0,53207000.0,0,999,70.0002,301.3026,0.0003246,267.9013,92.1774,14.98331939,2357,0
STARLINK-34034,63947,U,25098X,25,280.29931976,4.635e-05,0.0,39585000.0,0,999,70.0005,301.3023,0.0003337,270.729,89.3487,14.98341958,2357,0
STARLINK-33983,63948,U,25098Y,25,280.27861882,4.737e-05,0.0,40444000.0,0,999,69.9999,301.2256,0.0003221,271.0787,89.0003,14.98338178,2357,0
STARLINK-33993,63949,U,25098Z,25,280.25774749,5.112e-05,0.0,43565000.0,0,999,69.9997,301.145,0.0003304,272.9223,87.1558,14.98355474,2357,0
STARLINK-33962,63950,U,25098AA,25,280.26592994,6.002e-05,0.0,51030000.0,0,999,69.9997,301.1796,0.0003247,275.5114,84.5675,14.98335692,2357,0
STARLINK-33998,63951,U,25098AB,25,280.27010558,3.795e-05,0.0,32560000.0,0,999,69.9997,301.1956,0.0003146,271.7936,88.2863,14.9833753,2357,0
STARLINK-34159,63952,U,25099A,25,280.16675035,0.00037096,0.0,1350300.0,0,999,43.0026,323.5274,0.0001453,257.1333,102.9356,15.2759089,2384,0
STARLINK-34137,63953,U,25099B,25,279.56028201,0.00041251,0.0,1500000.0,0,999,43.0012,326.7158,0.0001642,251.6214,108.4459,15.27584815,2376,0
STARLINK-33974,63954,U,25099C,25,280.17446197,0.00025347,0.0,92683000.0,0,999,43.0026,323.5845,9.66e-05,273.8817,86.1924,15.27601817,2385,0
STARLINK-34170,63955,U,25099D,25,280.17060469,0.0002484,0.0,90875000.0,0,999,43.0002,323.5557,9.11e-05,289.119,70.9563,15.27594415,2384,0
STARLINK-34187,63956,U,25099E,25,280.16417818,0.00020302,0.0,74511000.0,0,999,43.0023,323.507,0.0001194,272.1256,87.9459,15.27586419,2385,0
STARLINK-34142,63957,U,25099F,25,280.16032558,0.00025812,0.0,94377000.0,0,999,43.0006,323.4781,9.21e-05,279.7024,80.3724,15.27596218,2385,0
STARLINK-34144,63958,U,25099G,25,280.15647046,0.00028772,0.0,1050400.0,0,999,42.9993,323.4494,7.88e-05,280.3681,79.7082,15.27598183,2385,0
STARLINK-34099,63959,U,25099H,25,280.1680345,0.00026946,0.0,98451000.0,0,999,43.42939249604006,323.5349,0.0001057,269.1335,90.9395,15.27600756,2385,1
